text,subject,sumamry,entities,categories,penalties,definition,dates,normativeTipe
"Art. 1o A República Federativa do Brasil, formada pela união indissolúvel dos Estados
e Municípios e do Distrito Federal, constitui-se em Estado Democrático de Direito e
tem como fundamentos:
I – a soberania;
II – a cidadania;
III – a dignidade da pessoa humana;
IV – os valores sociais do trabalho e da livre iniciativa;
V – o pluralismo político.
Parágrafo único. Todo o poder emana do povo, que o exerce por meio de represen-
tantes eleitos ou diretamente, nos termos desta Constituição.",Estado Democrático e Direito do Brasil,"O Brasil é uma república democrática, formada por estados, municípios e Distrito Federal. Sua constituição se baseia em cinco fundamentos: soberania do país, cidadania de todos os seus habitantes, dignidade da pessoa humana, valores sociais relacionados ao trabalho e à livre iniciativa, e pluralismo político","Estados, Municípios e Distrito Federal.","Direito Constitucional, Direito Administrativo",-,"1.  soberania - Poder absoluto e inalienável de um Estado sobre seu território e população, garantido pela Constituição",,Resposta
"Art. 2o São Poderes da União, independentes e harmônicos entre si, o Legislativo, o
Executivo e o Judiciário.","Poderes da União - Legislativo, Executivo e Judiciário","Os Poderes da União são independentes (cada um tem sua própria autoridade) e harmoniosos (trabalham juntos). Isso inclui o Legislativo, o Executivo e o Judiciário.","Legislativo, Executivo, Judiciário.","Direito Constitucional, Direito Administrativo",-,"1. Legislativo, Executivo e Judiciário",,Decreto
"Art. 3o Constituem objetivos fundamentais da República Federativa do Brasil:
I – construir uma sociedade livre, justa e solidária;
II – garantir o desenvolvimento nacional;
III – erradicar a pobreza e a marginalização e reduzir as desigualdades sociais e
regionais;
IV – promover o bem de todos, sem preconceitos de origem, raça, sexo, cor, idade
e quaisquer outras formas de discriminação.",Objetivos Fundamentales da República Federativa do Brasil,"O artigo 3º da Constituição define os objetivos fundamentais do Brasil, incluindo","Pessoas, empresas.","Direito Constitucional, Direito Civil e Direitos Humanos",Multas.,"1. Desigualdades sociais e regionais: se refere às diferenças significativas em relação à qualidade de vida, oportunidades econômicas e acesso a serviços básicos entre diferentes grupos populacionais",,Decreto
"Art. 4o A República Federativa do Brasil rege-se nas suas relações internacionais pelos
seguintes princípios:
I – independência nacional;
II – prevalência dos direitos humanos;
III – autodeterminação dos povos;
IV – não-intervenção;
V – igualdade entre os Estados;
VI – defesa da paz;
VII – solução pacífica dos conflitos;
VIII – repúdio ao terrorismo e ao racismo;
IX – cooperação entre os povos para o progresso da humanidade;
X – concessão de asilo político.
Parágrafo único. A República Federativa do Brasil buscará a integração econômica,
política, social e cultural dos povos da América Latina, visando à formação de uma
comunidade latino-americana de nações.
Dos Princípios Fundamentais 11

TÍTULO II –
Dos Direitos e Garantias Fundamentais
CAPÍTULO I –
Dos Direitos e Deveres Individuais e Coletivos",Princípios da Relações Internacionais Brasileiras,"O Brasil tem 10 princípios fundamentais nas suas relações internacionais, incluindo","Brasil, América Latina.","Direito Constitucional, Direitos Humanos","Multas, prisão.","1. Autodeterminação dos povos - O direito do povo a determinar seu próprio destino político, econômico e social sem interferência externa",,Decreto
"Art. 5o Todos são iguais perante a lei, sem distinção de qualquer natureza, garantin-
do-se aos brasileiros e aos estrangeiros residentes no País a inviolabilidade do direito
à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes:
(EC no 45/2004)
I – homens e mulheres são iguais em direitos e obrigações, nos termos desta
Constituição;
II – ninguém será obrigado a fazer ou deixar de fazer alguma coisa senão em
virtude de lei;
III – ninguém será submetido a tortura nem a tratamento desumano ou degradante;
IV – é livre a manifestação do pensamento, sendo vedado o anonimato;
V – é assegurado o direito de resposta, proporcional ao agravo, além da indenização
por dano material, moral ou à imagem;
VI – é inviolável a liberdade de consciência e de crença, sendo assegurado o livre
exercício dos cultos religiosos e garantida, na forma da lei, a proteção aos locais de culto
e a suas liturgias;
VII – é assegurada, nos termos da lei, a prestação de assistência religiosa nas en-
tidades civis e militares de internação coletiva;
VIII – ninguém será privado de direitos por motivo de crença religiosa ou de
convicção filosófica ou política, salvo se as invocar para eximir-se de obrigação legal a
todos imposta e recusar-se a cumprir prestação alternativa, fixada em lei;
IX – é livre a expressão da atividade intelectual, artística, científica e de comuni-
cação, independentemente de censura ou licença;
X – são invioláveis a intimidade, a vida privada, a honra e a imagem das pessoas, as-
segurado o direito a indenização pelo dano material ou moral decorrente de sua violação;
XI – a casa é asilo inviolável do indivíduo, ninguém nela podendo penetrar sem
consentimento do morador, salvo em caso de flagrante delito ou desastre, ou para prestar
socorro, ou, durante o dia, por determinação judicial;
XII – é inviolável o sigilo da correspondência e das comunicações telegráficas, de
dados e das comunicações telefônicas, salvo, no último caso, por ordem judicial, nas
hipóteses e na forma que a lei estabelecer para fins de investigação criminal ou instrução
processual penal;
XIII – é livre o exercício de qualquer trabalho, ofício ou profissão, atendidas as
qualificações profissionais que a lei estabelecer;
XIV – é assegurado a todos o acesso à informação e resguardado o sigilo da fonte,
quando necessário ao exercício profissional;
XV – é livre a locomoção no território nacional em tempo de paz, podendo
qualquer pessoa, nos termos da lei, nele entrar, permanecer ou dele sair com seus bens;
XVI – todos podem reunir-se pacificamente, sem armas, em locais abertos ao
público, independentemente de autorização, desde que não frustrem outra reunião
Dos Direitos e Garantias Fundamentais 13
anteriormente convocada para o mesmo local, sendo apenas exigido prévio aviso à
autoridade competente;
XVII – é plena a liberdade de associação para fins lícitos, vedada a de caráter
paramilitar;
XVIII – a criação de associações e, na forma da lei, a de cooperativas independem
de autorização, sendo vedada a interferência estatal em seu funcionamento;
XIX – as associações só poderão ser compulsoriamente dissolvidas ou ter suas
atividades suspensas por decisão judicial, exigindo-se, no primeiro caso, o trânsito em
julgado;
XX – ninguém poderá ser compelido a associar-se ou a permanecer associado;
XXI – as entidades associativas, quando expressamente autorizadas, têm legitimi-
dade para representar seus filiados judicial ou extrajudicialmente;
XXII – é garantido o direito de propriedade;
XXIII – a propriedade atenderá a sua função social;
XXIV – a lei estabelecerá o procedimento para desapropriação por necessidade
ou utilidade pública, ou por interesse social, mediante justa e prévia indenização em
dinheiro, ressalvados os casos previstos nesta Constituição;
XXV – no caso de iminente perigo público, a autoridade competente poderá usar de
propriedade particular, assegurada ao proprietário indenização ulterior, se houver dano;
XXVI – a pequena propriedade rural, assim definida em lei, desde que trabalhada
pela família, não será objeto de penhora para pagamento de débitos decorrentes de sua
atividade produtiva, dispondo a lei sobre os meios de financiar o seu desenvolvimento;
XXVII – aos autores pertence o direito exclusivo de utilização, publicação ou
reprodução de suas obras, transmissível aos herdeiros pelo tempo que a lei fixar;
XXVIII – são assegurados, nos termos da lei:
a) a proteção às participações individuais em obras coletivas e à reprodução da
imagem e voz humanas, inclusive nas atividades desportivas;
b) o direito de fiscalização do aproveitamento econômico das obras que criarem
ou de que participarem aos criadores, aos intérpretes e às respectivas repre-
sentações sindicais e associativas;
XXIX – a lei assegurará aos autores de inventos industriais privilégio temporário
para sua utilização, bem como proteção às criações industriais, à propriedade das marcas,
aos nomes de empresas e a outros signos distintivos, tendo em vista o interesse social e
o desenvolvimento tecnológico e econômico do País;
XXX – é garantido o direito de herança;
XXXI – a sucessão de bens de estrangeiros situados no País será regulada pela lei
brasileira em benefício do cônjuge ou dos filhos brasileiros, sempre que não lhes seja
mais favorável a lei pessoal do de cujus;
XXXII – o Estado promoverá, na forma da lei, a defesa do consumidor;
XXXIII – todos têm direito a receber dos órgãos públicos informações de seu
interesse particular, ou de interesse coletivo ou geral, que serão prestadas no prazo da
lei, sob pena de responsabilidade, ressalvadas aquelas cujo sigilo seja imprescindível à
segurança da sociedade e do Estado;
XXXIV – são a todos assegurados, independentemente do pagamento de taxas:
14 Constituição da República Federativa do Brasil
a) o direito de petição aos Poderes Públicos em defesa de direitos ou contra
ilegalidade ou abuso de poder;
b) a obtenção de certidões em repartições públicas, para defesa de direitos e
esclarecimento de situações de interesse pessoal;
XXXV – a lei não excluirá da apreciação do Poder Judiciário lesão ou ameaça a
direito;
XXXVI – a lei não prejudicará o direito adquirido, o ato jurídico perfeito e a coisa
julgada;
XXXVII – não haverá juízo ou tribunal de exceção;
XXXVIII – é reconhecida a instituição do júri, com a organização que lhe der a
lei, assegurados:
a) a plenitude de defesa;
b) o sigilo das votações;
c) a soberania dos veredictos;
d) a competência para o julgamento dos crimes dolosos contra a vida;
XXXIX – não há crime sem lei anterior que o defina, nem pena sem prévia co-
minação legal;
XL – a lei penal não retroagirá, salvo para beneficiar o réu;
XLI – a lei punirá qualquer discriminação atentatória dos direitos e liberdades
fundamentais;
XLII – a prática do racismo constitui crime inafiançável e imprescritível, sujeito
à pena de reclusão, nos termos da lei;
XLIII – a lei considerará crimes inafiançáveis e insuscetíveis de graça ou anistia
a prática da tortura, o tráfico ilícito de entorpecentes e drogas afins, o terrorismo e os
definidos como crimes hediondos, por eles respondendo os mandantes, os executores
e os que, podendo evitá-los, se omitirem;
XLIV – constitui crime inafiançável e imprescritível a ação de grupos armados,
civis ou militares, contra a ordem constitucional e o Estado Democrático;
XLV – nenhuma pena passará da pessoa do condenado, podendo a obrigação de
reparar o dano e a decretação do perdimento de bens ser, nos termos da lei, estendidas
aos sucessores e contra eles executadas, até o limite do valor do patrimônio transferido;
XLVI – a lei regulará a individualização da pena e adotará, entre outras, as se-
guintes:
a) privação ou restrição da liberdade;
b) perda de bens;
c) multa;
d) prestação social alternativa;
e) suspensão ou interdição de direitos;
XLVII – não haverá penas:
a) de morte, salvo em caso de guerra declarada, nos termos do art. 84, XIX;
b) de caráter perpétuo;
c) de trabalhos forçados;
Dos Direitos e Garantias Fundamentais 15
d) de banimento;
e) cruéis;
XLVIII – a pena será cumprida em estabelecimentos distintos, de acordo com a
natureza do delito, a idade e o sexo do apenado;
XLIX – é assegurado aos presos o respeito à integridade física e moral;
L – às presidiárias serão asseguradas condições para que possam permanecer com
seus filhos durante o período de amamentação;
LI – nenhum brasileiro será extraditado, salvo o naturalizado, em caso de crime
comum, praticado antes da naturalização, ou de comprovado envolvimento em tráfico
ilícito de entorpecentes e drogas afins, na forma da lei;
LII – não será concedida extradição de estrangeiro por crime político ou de opinião;
LIII – ninguém será processado nem sentenciado senão pela autoridade compe-
tente;
LIV – ninguém será privado da liberdade ou de seus bens sem o devido processo
legal;
LV – aos litigantes, em processo judicial ou administrativo, e aos acusados em
geral são assegurados o contraditório e ampla defesa, com os meios e recursos a ela
inerentes;
LVI – são inadmissíveis, no processo, as provas obtidas por meios ilícitos;
LVII – ninguém será considerado culpado até o trânsito em julgado de sentença
penal condenatória;
LVIII – o civilmente identificado não será submetido a identificação criminal,
salvo nas hipóteses previstas em lei;
LIX – será admitida ação privada nos crimes de ação pública, se esta não for
intentada no prazo legal;
LX – a lei só poderá restringir a publicidade dos atos processuais quando a defesa
da intimidade ou o interesse social o exigirem;
LXI – ninguém será preso senão em flagrante delito ou por ordem escrita e fun-
damentada de autoridade judiciária competente, salvo nos casos de transgressão militar
ou crime propriamente militar, definidos em lei;
LXII – a prisão de qualquer pessoa e o local onde se encontre serão comunicados
imediatamente ao juiz competente e à família do preso ou à pessoa por ele indicada;
LXIII – o preso será informado de seus direitos, entre os quais o de permanecer
calado, sendo-lhe assegurada a assistência da família e de advogado;
LXIV – o preso tem direito à identificação dos responsáveis por sua prisão ou por
seu interrogatório policial;
LXV – a prisão ilegal será imediatamente relaxada pela autoridade judiciária;
LXVI – ninguém será levado à prisão ou nela mantido, quando a lei admitir a
liberdade provisória, com ou sem fiança;
LXVII – não haverá prisão civil por dívida, salvo a do responsável pelo inadim-
plemento voluntário e inescusável de obrigação alimentícia e a do depositário infiel;
LXVIII – conceder-se-á habeas corpus sempre que alguém sofrer ou se achar
ameaçado de sofrer violência ou coação em sua liberdade de locomoção, por ilegalidade
ou abuso de poder;
16 Constituição da República Federativa do Brasil
LXIX – conceder-se-á mandado de segurança para proteger direito líquido e certo,
não amparado por habeas corpus ou habeas data, quando o responsável pela ilegalidade
ou abuso de poder for autoridade pública ou agente de pessoa jurídica no exercício de
atribuições do Poder Público;
LXX – o mandado de segurança coletivo pode ser impetrado por:
a) partido político com representação no Congresso Nacional;
b) organização sindical, entidade de classe ou associação legalmente constituída
e em funcionamento há pelo menos um ano, em defesa dos interesses de seus
membros ou associados;
LXXI – conceder-se-á mandado de injunção sempre que a falta de norma regu-
lamentadora torne inviável o exercício dos direitos e liberdades constitucionais e das
prerrogativas inerentes à nacionalidade, à soberania e à cidadania;
LXXII – conceder-se-á habeas data:
a) para assegurar o conhecimento de informações relativas à pessoa do impetran-
te, constantes de registros ou bancos de dados de entidades governamentais
ou de caráter público;
b) para a retificação de dados, quando não se prefira fazê-lo por processo sigiloso,
judicial ou administrativo;
LXXIII – qualquer cidadão é parte legítima para propor ação popular que vise a
anular ato lesivo ao patrimônio público ou de entidade de que o Estado participe, à mo-
ralidade administrativa, ao meio ambiente e ao patrimônio histórico e cultural, ficando
o autor, salvo comprovada má-fé, isento de custas judiciais e do ônus da sucumbência;
LXXIV – o Estado prestará assistência jurídica integral e gratuita aos que com-
provarem insuficiência de recursos;
LXXV – o Estado indenizará o condenado por erro judiciário, assim como o que
ficar preso além do tempo fixado na sentença;
LXXVI – são gratuitos para os reconhecidamente pobres, na forma da lei:
a) o registro civil de nascimento;
b) a certidão de óbito;
LXXVII – são gratuitas as ações de habeas corpus e habeas data, e, na forma da
lei, os atos necessários ao exercício da cidadania;
LXXVIII – a todos, no âmbito judicial e administrativo, são assegurados a razoável
duração do processo e os meios que garantam a celeridade de sua tramitação.
§ 1o As normas definidoras dos direitos e garantias fundamentais têm aplicação
imediata.
§ 2o Os direitos e garantias expressos nesta Constituição não excluem outros decor-
rentes do regime e dos princípios por ela adotados, ou dos tratados internacionais em
que a República Federativa do Brasil seja parte.
§ 3o Os tratados e convenções internacionais sobre direitos humanos que forem
aprovados, em cada Casa do Congresso Nacional, em dois turnos, por três quintos dos
votos dos respectivos membros, serão equivalentes às emendas constitucionais.1
§ 4o O Brasil se submete à jurisdição de Tribunal Penal Internacional a cuja criação
tenha manifestado adesão.
1 NE: ver Atos Internacionais Equivalentes a Emenda Constitucional.
Dos Direitos e Garantias Fundamentais 17
CAPÍTULO II –
Dos Direitos Sociais",Todos são iguais perante lei,Aqui está um resumo simplificado dos artigos relacionados aos direitos fundamentais da Constituição Brasileira,"Partidos políticos, organização sindical.","Aqui estão os direitos sociais mencionados na Constituição, categorizados e listados separadamente","Não há um capítulo específico chamado ""Capsulo"" no conteúdo fornecido, mas sim uma lista de disposições constitucionais. Portanto, não é possível remover textos de saudação ou despedida que não estejam presentes",Aqui estão as explicações dos direitos sociais mencionados na Constituição,Aqui estão os artigos relacionados aos direitos sociais,LXVIII – concederseá habeas corpus sempre que alguém sofrer ou se achar ameaçado
"Art. 6o São direitos sociais a educação, a saúde, a alimentação, o trabalho, a moradia,
o transporte, o lazer, a segurança, a previdência social, a proteção à maternidade e à
infância, a assistência aos desamparados, na forma desta Constituição. (EC no 26/2000,
EC no 64/2010 e EC no 90/2015)",Direitos Sociais da População,"Os direitos sociais incluem educação, saúde, alimentação, trabalho, moradia, transporte, lazer e segurança. Esses direitos são protegidos pela Constituição brasileira.","Educação, Saúde, Previdência Social.","Direito Social, Direitos Fundamentais",-,1. Previdência social: Refere-se a um sistema que fornece benefícios financeiros aos trabalhadores para proteger sua vida econômica em caso de imprevisibilidade do trabalho ou inadimplência com o empregador,,Classificado como
"Art. 7o São direitos dos trabalhadores urbanos e rurais, além de outros que visem à
melhoria de sua condição social: (EC no 20/98, EC no 28/2000, EC no 53/2006 e EC no
72/2013)
I – relação de emprego protegida contra despedida arbitrária ou sem justa causa,
nos termos de lei complementar, que preverá indenização compensatória, dentre outros
direitos;
II – seguro-desemprego, em caso de desemprego involuntário;
III – fundo de garantia do tempo de serviço;
IV – salário mínimo, fixado em lei, nacionalmente unificado, capaz de atender a
suas necessidades vitais básicas e às de sua família com moradia, alimentação, educação,
saúde, lazer, vestuário, higiene, transporte e previdência social, com reajustes periódicos
que lhe preservem o poder aquisitivo, sendo vedada sua vinculação para qualquer fim;
V – piso salarial proporcional à extensão e à complexidade do trabalho;
VI – irredutibilidade do salário, salvo o disposto em convenção ou acordo coletivo;
VII – garantia de salário, nunca inferior ao mínimo, para os que percebem remu-
neração variável;
VIII – décimo terceiro salário com base na remuneração integral ou no valor da
aposentadoria;
IX – remuneração do trabalho noturno superior à do diurno;
X – proteção do salário na forma da lei, constituindo crime sua retenção dolosa;
XI – participação nos lucros, ou resultados, desvinculada da remuneração, e, ex-
cepcionalmente, participação na gestão da empresa, conforme definido em lei;
XII – salário-família pago em razão do dependente do trabalhador de baixa renda
nos termos da lei;
XIII – duração do trabalho normal não superior a oito horas diárias e quarenta e
quatro semanais, facultada a compensação de horários e a redução da jornada, mediante
acordo ou convenção coletiva de trabalho;
XIV – jornada de seis horas para o trabalho realizado em turnos ininterruptos de
revezamento, salvo negociação coletiva;
XV – repouso semanal remunerado, preferencialmente aos domingos;
XVI – remuneração do serviço extraordinário superior, no mínimo, em cinqüenta
por cento à do normal;
XVII – gozo de férias anuais remuneradas com, pelo menos, um terço a mais do
que o salário normal;
XVIII – licença à gestante, sem prejuízo do emprego e do salário, com a duração
de cento e vinte dias;
XIX – licença-paternidade, nos termos fixados em lei;
18 Constituição da República Federativa do Brasil
XX – proteção do mercado de trabalho da mulher, mediante incentivos específicos,
nos termos da lei;
XXI – aviso prévio proporcional ao tempo de serviço, sendo no mínimo de trinta
dias, nos termos da lei;
XXII – redução dos riscos inerentes ao trabalho, por meio de normas de saúde,
higiene e segurança;
XXIII – adicional de remuneração para as atividades penosas, insalubres ou pe-
rigosas, na forma da lei;
XXIV – aposentadoria;
XXV – assistência gratuita aos filhos e dependentes desde o nascimento até 5
(cinco) anos de idade em creches e pré-escolas;
XXVI – reconhecimento das convenções e acordos coletivos de trabalho;
XXVII – proteção em face da automação, na forma da lei;
XXVIII – seguro contra acidentes de trabalho, a cargo do empregador, sem excluir
a indenização a que este está obrigado, quando incorrer em dolo ou culpa;
XXIX – ação, quanto aos créditos resultantes das relações de trabalho, com prazo
prescricional de cinco anos para os trabalhadores urbanos e rurais, até o limite de dois
anos após a extinção do contrato de trabalho:
a) (Revogada);
b) (Revogada);
XXX – proibição de diferença de salários, de exercício de funções e de critério de
admissão por motivo de sexo, idade, cor ou estado civil;
XXXI – proibição de qualquer discriminação no tocante a salário e critérios de
admissão do trabalhador portador de deficiência;
XXXII – proibição de distinção entre trabalho manual, técnico e intelectual ou
entre os profissionais respectivos;
XXXIII – proibição de trabalho noturno, perigoso ou insalubre a menores de de-
zoito e de qualquer trabalho a menores de dezesseis anos, salvo na condição de aprendiz,
a partir de quatorze anos;
XXXIV – igualdade de direitos entre o trabalhador com vínculo empregatício
permanente e o trabalhador avulso.
Parágrafo único. São assegurados à categoria dos trabalhadores domésticos os di-
reitos previstos nos incisos IV, VI, VII, VIII, X, XIII, XV, XVI, XVII, XVIII, XIX, XXI,
XXII, XXIV, XXVI, XXX, XXXI e XXXIII e, atendidas as condições estabelecidas em
lei e observada a simplificação do cumprimento das obrigações tributárias, principais
e acessórias, decorrentes da relação de trabalho e suas peculiaridades, os previstos nos
incisos I, II, III, IX, XII, XXV e XXVIII, bem como a sua integração à previdência social.",Direitos dos Trabalhistas Urbanos e Rurais,Os direitos dos trabalhadores urbanos e rurais incluem,"Constituição da República Federativa do Brasil, EC no 20/98, EC no 28/2000, EC no 53/2006, EC no 72/2013.","Direito Trabalhista, Direito Civil e Direitos Sociais",Multas,"1. Adicional de remuneração para as atividades penosas, insalubres ou perigosas",20/98,Lei
"Art. 8o É livre a associação profissional ou sindical, observado o seguinte:
I – a lei não poderá exigir autorização do Estado para a fundação de sindicato,
ressalvado o registro no órgão competente, vedadas ao Poder Público a interferência e
a intervenção na organização sindical;
II – é vedada a criação de mais de uma organização sindical, em qualquer grau,
representativa de categoria profissional ou econômica, na mesma base territorial, que
será definida pelos trabalhadores ou empregadores interessados, não podendo ser in-
ferior à área de um Município;
Dos Direitos e Garantias Fundamentais 19
III – ao sindicato cabe a defesa dos direitos e interesses coletivos ou individuais
da categoria, inclusive em questões judiciais ou administrativas;
IV – a assembléia geral fixará a contribuição que, em se tratando de categoria
profissional, será descontada em folha, para custeio do sistema confederativo da repre-
sentação sindical respectiva, independentemente da contribuição prevista em lei;
V – ninguém será obrigado a filiar-se ou a manter-se filiado a sindicato;
VI – é obrigatória a participação dos sindicatos nas negociações coletivas de
trabalho;
VII – o aposentado filiado tem direito a votar e ser votado nas organizações sin-
dicais;
VIII – é vedada a dispensa do empregado sindicalizado a partir do registro da
candidatura a cargo de direção ou representação sindical e, se eleito, ainda que suplen-
te, até um ano após o final do mandato, salvo se cometer falta grave nos termos da lei.
Parágrafo único. As disposições deste artigo aplicam-se à organização de sindicatos
rurais e de colônias de pescadores, atendidas as condições que a lei estabelecer.",Associação Profissional e Sindicais Livres,O artigo 80 estabelece regras sobre a liberdade da associação profissional e sindical. Aqui estão os principais pontos,"Sindicato, Estado, Município.",Direito Trabalhista,- Multas,1. Termo: Organização sindical - é a estrutura institucional que reúne trabalhadores para defender seus direitos e interesses coletivos,,Decreto
"Art. 9o É assegurado o direito de greve, competindo aos trabalhadores decidir sobre
a oportunidade de exercê-lo e sobre os interesses que devam por meio dele defender.
§ 1o A lei definirá os serviços ou atividades essenciais e disporá sobre o atendimento
das necessidades inadiáveis da comunidade.
§ 2o Os abusos cometidos sujeitam os responsáveis às penas da lei.",Direito à Greve nos Trabalhos,"Os trabalhadores têm direito a greve, mas precisam decidir quando exercê-la. A lei define quais serviços são essenciais e como atender às necessidades básicas da comunidade durante uma greve. Se alguém cometer abuso durante uma greve, pode ser punido de acordo com a lei.","Trabalhadores, Leis.","Direito Trabalhista, Direito Penal","Multas, prisão.","1. Greve: direito dos trabalhadores para negar-se a exercer suas funções em determinado período, geralmente por questões econômicas ou sociais",,Decreto
"Art. 10. É assegurada a participação dos trabalhadores e empregadores nos colegiados
dos órgãos públicos em que seus interesses profissionais ou previdenciários sejam objeto
de discussão e deliberação.",Participação dos Trabalhistas nos Colegiados Públicos,Os trabalhadores e empregadores têm direito a participar nas discussões sobre seus interesses profissionais e previdenciários nos órgãos públicos.,"órgãos públicos, trabalhadores","Direito Trabalhista, Direito Processual",-,"1. Colegiado, um órgão deliberativo que representa a união dos membros de uma categoria profissional específica dentro de uma entidade governamental ou privada",,Resposta
